Lis Penden Filings,,,,,,,,,,,,,,Connecticut,
2011,,,,,,,,,,,,,,Sorted by Municipality,
,,,,Total,,,,Total,,,,Total,,Total,
Town Totals,,,,,,,,,,,,,,,
Town,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,",
Town,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,Nov,"Dec Quarter 4,"
2011,,,,,,,,,,,,,,,
,,,,2011,,,,2011,,,,2011,,,2011
Middlebury 4,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0 1
Middlefield 2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0 1
Middletown 2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0 0
Milford 22,3,1,0,4,2,6,2,10,1,0,0,1,4,1,2 7
Monroe 6,0,0,0,0,1,1,1,3,0,1,0,1,0,0,2 2
Montville 2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0 0
Morris 3,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0 0
Naugatuck 44,0,0,4,4,7,3,8,18,5,8,3,16,0,1,5 6
New Britain 78,2,10,4,16,8,8,3,19,4,9,7,20,3,15,5 23
New Canaan 6,0,0,0,0,1,4,0,5,0,0,1,1,0,0,0 0
New Fairfield 12,1,0,1,2,0,0,0,0,1,1,4,6,0,2,2 4
New Hartford 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0 0
New Haven 150,5,7,10,22,8,16,12,36,8,7,22,37,26,7,22 55
New London 24,1,1,2,4,3,0,1,4,5,2,0,7,2,2,5 9
New Milford 45,2,4,3,9,7,1,2,10,5,4,2,11,6,4,5 15
Newington 10,2,0,1,3,3,0,1,4,2,1,0,3,0,0,0 0
Newtown 14,2,1,0,3,2,2,1,5,0,0,2,2,0,4,0 4
Norfolk 3,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0 1
North Branford 8,0,1,0,1,0,2,2,4,1,0,1,2,0,1,0 1
North Canaan 4,0,2,0,2,1,0,0,1,0,0,0,0,0,0,1 1
